Zip;Mean;Pop
10001;123.113;17.678
10002;46.259;70.878
10003;139.331;53.609
10004;156.683;1.271
10005;163.763;1.517
10006;156.776;972
10007;256.236;3.520
10009;78.138;56.975
1001;66.688;16.445
10010;137.106;27.322
10011;160.937;45.899
10012;135.999;26.464
10013;137.738;24.723
10014;162.205;32.867
10016;144.872;49.904
10017;149.724;16.231
10018;112.292;4.255
10019;133.175;39.048
1002;75.063;28.069
10020;147.680;1
10021;198.530;44.173
10022;158.965;26.460
10023;194.366;59.002
10024;191.408;61.485
10025;112.009;96.117
10026;50.332;25.925
10027;57.767;57.049
10028;192.258;40.914
10029;56.937;76.271
1003;35.121;8.491
10030;51.241;26.058
10031;51.413;59.450
10032;40.902;54.744
10033;53.967;59.049
10034;46.838;37.785
10035;37.222;31.078
10036;89.879;18.660
10037;52.945;16.994
10038;89.760;15.435
10039;37.075;21.738
10040;48.180;46.585
10044;117.866;9.519
1005;82.442;4.798
10065;191.674;31.500
10069;108.784;1.843
1007;85.802;12.962
10075;188.422;25.187
1008;78.391;1.244
1009;66.737;889
1010;80.919;3.340
1011;77.443;1.323
10110;79.288;33
1012;74.722;677
10128;180.473;59.434
1013;46.179;22.907
10162;116.427;1.726
10165;151.404;7
10170;146.411;1
10171;146.411;1
10199;107.615;10
1020;58.516;29.626
1022;60.797;2.124
1026;71.505;1.052
1027;66.613;17.452
10278;143.247;2
1028;94.891;14.143
10280;138.990;4.298
1029;97.075;663
1030;81.727;11.702
10301;75.010;38.618
10302;70.774;16.580
10303;66.353;22.842
10304;65.695;36.662
10305;75.469;37.014
10306;91.446;54.812
10307;110.791;11.662
10308;85.726;23.972
10309;98.956;27.255
1031;76.417;1.192
10310;77.596;22.793
10312;99.002;55.963
10314;90.428;85.260
1032;79.796;498
1034;78.391;1.910
1035;73.973;4.801
1036;95.493;5.089
1037;76.417;627
1038;72.430;2.557
1039;78.497;1.291
1040;43.615;39.827
10451;30.637;37.570
10452;35.201;71.254
10453;35.179;77.913
10454;28.294;30.078
10455;33.951;37.013
10456;30.837;75.975
10457;34.688;68.492
10458;34.873;77.840
10459;33.744;38.847
10460;33.568;53.752
10461;58.037;48.081
10462;51.310;71.130
10463;65.039;62.456
10464;1.673;109
10465;73.646;41.282
10466;57.368;68.662
10467;45.203;94.492
10468;38.638;76.073
10469;66.926;63.256
10470;65.712;15.778
10471;79.167;18.127
10472;42.815;64.864
10473;49.073;52.624
10474;31.476;11.365
10475;57.491;38.149
1050;70.566;2.380
10501;192.610;1.134
10502;164.350;5.184
10503;199.102;109
10504;287.442;7.139
10505;149.437;185
10506;302.811;5.506
10507;107.827;5.855
10509;108.515;18.988
10510;244.705;9.727
10511;127.632;2.213
10512;108.953;23.865
10514;278.279;11.974
10516;108.344;5.202
10517;84.219;422
10518;227.497;954
10519;213.441;392
10520;123.312;12.434
10522;132.831;10.636
10523;97.311;7.710
10524;114.247;4.260
10526;218.303;1.675
10527;191.959;895
